Unité;Leçon;FRANZÖSISCH;PHONETIK;DEUTSCH
1;2;timide (adj.);[timid];schüchtern (adj.)
1;2;toujours;[tuʒur];immer
1;2;trop;[tro];zu (viel)
1;2;vie (la);[la vi];Leben (das)
1;2;vivre (v.);[vivr];leben
1;2;vrai/e (adj.);[vrɛ / vrɛ];richtig (adj.)
1;3;amour (l’);[lamur];Liebe (die)
1;3;année (une);[ynane];Jahr (ein)
1;3;août;[ut];August
1;3;apporter (v.);[apɔrte];bringen / verschaffen
1;3;argent (l’);[larʒɑ̃];Geld (das)
1;3;astre (un);[ɛ̃nastr];Gestirn (ein)
1;3;bon/ne (adj.);[bɔ̃ / bɔn];gut (adj.)
1;3;cadeau (un);[ɛ̃ kado];Geschenk (ein)
1;3;calme (adj.);[kalm];ruhig (adj.)
1;3;célèbre (adj.);[selɛbr];berühmt (adj.)
1;3;chance (la);[la ʃɑ̃s];Chance (die) / Glück (das)
1;3;choisir (v.);[ʃwazir];wählen
1;3;complet/lète (adj.);[kɔ̃plɛ / kɔ̃plɛt];vollständig (adj.)
1;3;consulter (v.);[kɔ̃sylte];einsehen / um Rat fragen
1;3;demain;[dəmɛ̃];morgen
1;3;dépendre (v.);[depɑ̃dr];abhängen
1;3;dépenser (v.);[depɑ̃se];ausgeben
1;3;donner (v.);[dɔne];geben
1;3;en forme;[ɑ̃ fɔrm];in Form
1;3;énergie (une);[ynenɛrʒi];Energie (eine)
1;3;faire attention (v.);[fɛratɑ̃sjɔ̃];aufpassen
1;3;faire des économies (v.);[fɛr dezekɔnɔmi];sparen
1;3;fatigue (la);[la fatig];Müdigkeit (die)
1;3;fatigué/e (adj.);[fatige / fatige];müde (adj.)
1;3;favoriser (v.);[favɔrize];fördern
1;3;gagner de l’argent (v.);[gaɲje də larʒɑ̃];Geld verdienen
1;3;générosité (la);[la ʒenerozite];Großzügigkeit (die)
1;3;horoscope (l’);[lɔrɔskɔp];Horoskop (das)
1;3;humeur (l’);[lymoer];Laune (die)
1;3;idéal/e (adj.);[ideal / ideal];ideal (adj.)
1;3;invitation (une);[ynɛ̃vitasjɔ̃];Einladung (eine)
1;3;joie (la);[la ʒwa];Freude (die)
1;3;moment (un);[ɛ̃ mɔmɑ̃];Moment (ein)
1;3;occidental/e (adj.);[ɔksidɑ̃tal / ɔksidɑ̃tal];westlich (adj.)
1;3;optimiste (adj.);[ɔptimist];optimistisch (adj.)
1;3;partager (v.);[partaʒe];teilen
1;3;prendre (v.);[prɑ̃dr];nehmen
1;3;prévision (une);[yn(ə) previzjɔ̃];Vorhersage (eine)
1;3;priorité (une);[yn(ə) priɔrite];Priorität (eine)
1;3;prochain/e (adj.);[prɔʃɛ̃ / prɔʃɛn];nächste(r) (adj.)
1;3;protéger (v.);[prɔteʒe];schützen
1;3;publier (v.);[pyblije];veröffentlichen
1;3;recevoir (v.);[rəvwar];empfangen
1;3;rencontre (une);[yn(ə) rɑ̃kɔ̃tr];Begegnung (eine)
1;3;ressentir (v.);[rəsɑ̃tir];fühlen
1;3;romantisme (le);[lə rɔmɑ̃tism];Romantik (die)
1;3;satisfait/e (adj.);[satisfɛ / satisfɛt];zufrieden (adj.)
1;3;se détendre (v.);[sə detɑ̃dr];sich entspannen (v.)
1;3;se sentir (v.);[sə sɑ̃tir];sich fühlen
1;3;sentiment (un);[ɛ̃ sɑ̃timɑ̃];Gefühl (ein)
1;3;sentimental/e (adj.);[sɑ̃timɑ̃tal / sɑ̃timɑ̃tal];gefühlsbetont (adj.)
1;3;signe (un);[ɛ̃ siɲ];Zeichen / Sternzeichen (ein)
1;3;société (une);[yn(ə) sɔsjete];Gesellschaft (eine)
1;3;solution (une);[yn(ə) sɔlysjɔ̃];Lösung (eine)
1;3;spectaculaire (adj.);[spɛktakylɛr];spektakulär (adj.)
1;3;tendresse (la);[la tɑ̃drɛs];Zärtlichkeit (die)
1;3;tomber amoureux (v.);[tɔ̃be amurø];sich verlieben
1;4;actualité (l’);[laktɥalite];Aktuelles / Zeitgeschehen (das)
1;4;appareil (photo) (un);[ɛ̃naparɛj (foto)];(Foto-)Apparat (ein)
1;4;apprentissage (l’);[laprɑ̃tisaʒ];Lernen (das)
1;4;attirer l’attention (v.);[atire latɑ̃sjɔ̃];Aufmerksamkeit erregen
1;4;avis (un);[ɛ̃navi];Meinung (eine)
1;4;avoir raison (v.);[avwar rɛzɔ̃];Recht haben
1;4;balcon (un);[ɛ̃ balkɔ̃];Balkon (ein)
1;4;beau/belle (adj.);[bo / bɛl];schön (adj.)
1;4;bise (une);[yn(ə) biz];Kuss (ein)
1;4;comprendre (v.);[kɔ̃prɑ̃dr];verstehen
1;4;conseil (un);[ɛ̃ kɔ̃sɛj];Rat(-schlag) (ein)
1;4;déroulement (le);[lə derul(ə)mɑ̃];Ablauf (der)
1;4;feu d’artifice (un);[ɛ̃ fø dartifis];Feuerwerk (ein)
1;4;forêt (une);[yn(ə) fɔrɛ];Wald (ein)
1;4;gagner (v.);[gaɲe];gewinnen / verdienen
1;4;hésitation (une);[ynezitasjɔ̃];Zögern (ein)
1;4;informel/le (adj.);[ɛ̃fɔrmɛl / ɛ̃fɔrmɛl];informell (adj.)
1;4;lieu (un);[ɛ̃ ljø];Ort (ein)
1;4;participer (v.);[partisipe];teilnehmen
1;4;photo(graphie) (une);[yn(ə) fɔtɔ(grafi)];Foto(grafie) (ein/e)
1;4;porter bonheur (v.);[pɔrte bɔnoer];Glück bringen
1;4;possible (adj.);[pɔsibl];möglich (adj.)
1;4;réveillon (le);[lə revejɔ̃];Silvester (der)
1;4;s’embrasser (v.);[sɑ̃brase];sich küssen / umarmen
1;4;se rassembler (v.);[s(ə) rasɑ̃ble];sich versammeln
1;4;se tutoyer (v.);[sə tytwaje];sich duzen
1;4;surprenant/e (adj.);[syrprənɑ̃ / syrprənɑ̃t];überraschend (adj.)
1;4;tradition (une);[yn(ə) tradisjɔ̃];Tradition (eine)
1;4;voeu (un);[ɛ̃ vø];Wunsch (ein)
2;5;adorable (adj.);[adɔrabl];reizend (adj.)
2;5;affinités (des);[dezafinite];Wesensverwandtschaft (die)
2;5;biologique (adj.);[bjɔlɔʒik];leiblich / biologisch (adj.)
2;5;célébrité (une);[yn(ə) selebrite];Berühmtheit (eine)
2;5;changement (un);[ɛ̃ ʃɑ̃ʒ(ə)mɑ̃];Veränderung (eine)
2;5;choc (un);[ɛ̃ ʃɔk];Schreck (ein)
2;5;compliqué/e (adj.);[kɔ̃plike / kɔ̃plike];kompliziert (adj.)
2;5;de temps en temps;[də tɑ̃zɑ̃tɑ̃];ab und zu
2;5;décès (un);[ɛ̃ desɛ];Tod (ein)
2;5;demi-frère (un) / demi-soeur (une);[ɛ̃ dəmifrɛr / yn(ə) dəmisoer];Halbbruder (ein) / Halbschwester (eine)
2;5;difficulté (une);[yn(ə) difikylte];Schwierigkeit (eine)
2;5;divorcer (v.);[divɔrse];sich scheiden lassen
2;5;éducation (l’);[ledykasjɔ̃];Erziehung (die)
2;5;émission (une);[ynemisjɔ̃];Sendung (eine)
2;5;en commun;[ɑ̃ kɔmɛ̃];gemeinsam
2;5;famille recomposée (une);[yn(ə) famij rəkɔ̃pɔze];Patchworkfamilie (eine)
2;5;fils / fille unique (un/ une);[ɛ̃ fisynik / yn(ə) fijynik];Einzelkind (ein)
2;5;fratrie (une);[yn(ə) fratri];Geschwister (pl.)
2;5;frère (un);[ɛ̃ frɛr];Bruder (ein)
2;5;lien (un);[ɛ̃ ljɛ̃];Bindung (eine)
2;5;livret de famille (un);[ɛ̃ livrɛ d(ə) famij];Familienstammbuch (ein)
2;5;mairie (une);[yn(ə) meri];Rathaus (ein)
2;5;mauvais/e (adj.);[movɛ / movɛz];schlecht (adj.)
2;5;milieu social (le);[lə miljø sɔsjal];soziales Umfeld (das)
2;5;mois (un);[ɛ̃ mwa];Monat (ein)
2;5;naissance (une);[yn(ə) nɛsɑ̃s];Geburt (eine)
2;5;pareil/eille (adj.);[parɛj / parɛj];gleich (adj.)
2;5;proportion (une);[yn(ə) prɔpɔrsjɔ̃];Größenverhältnis (ein)
2;5;propre (adj.);[prɔpr];eigene/r/s (adj.) / sauber (adj.)
2;5;quasi (adv.);[kazi];fast (adv.)
2;5;région (une);[yn(ə) reʒjɔ̃];Region (eine)
2;5;riche (adj.);[riʃ];reich (adj.)
2;5;s’amuser (v.);[samyze];sich amüsieren
2;5;s’entendre (bien) (v.);[(bjɛ̃) sɑ̃tɑ̃dr];sich (gut) verstehen
2;5;se disputer (v.);[s(ə) dispute];sich streiten
2;5;se séparer (v.);[sə separe];sich trennen
2;5;soeur (une);[yn(ə) soer];Schwester (eine)
2;5;témoignage (un);[ɛ̃ temwaɲaʒ];Bericht (ein)
2;6;affiche (une);[ynafiʃ];Plakat (ein)
2;6;ambulant/e (adj.);[ɑ̃bylɑ̃ / ɑ̃bylɑ̃t];Wander-
2;6;aujourd’hui;[oʒurdɥi];heute
2;6;banlieue (la);[la bɑ̃ljø];Stadtrand (der) / Vorstadt (die)
2;6;bâtiment (le);[lə batimɑ̃];Gebäude (das)
2;6;beaucoup;[boku];viel / sehr
2;6;chantier (un);[ɛ̃ ʃɑ̃tje];Baustelle (eine)
2;6;chômage (le);[lə ʃomaʒ];Arbeitslosigkeit (die)
2;6;construction (une);[yn(ə) kɔ̃stryksjɔ̃];Bau (ein)
2;6;courageux/euse (adj.);[kuraʒø / kuraʒøz];mutig (adj.)
2;6;décrire (v.);[dekrir];beschreiben
2;6;dur/e (adj.);[dyr / dyr];hart (adj.)
2;6;élégant/e (adj.);[elegɑ̃ / elegɑ̃t];elegant (adj.)
2;6;émigrer (v.);[emigre];auswandern
2;6;employé/e de maison (un/ une);[ɛ̃nɑ̃plwaje də mezɔ̃ / ynɑ̃plwaje də mezɔ̃];Hausangestellte(r) (ein/eine)
2;6;enfance (une);[ynɑ̃fɑ̃s];Kindheit (eine)
2;6;énorme (adj.);[enɔrm];riesig (adj.)
2;6;époque (une);[ynepɔk];Zeit (eine)
2;6;été (un);[ɛ̃nete];Sommer (ein)
2;6;football (le);[lə futbol];Fußball (der)
2;6;hypermarché (un);[ɛ̃nipɛrmarʃe];Großmarkt (ein)
2;6;identité (l’);[lidɑ̃tite];Identität (die)
2;6;immigration (l’);[limigrasjɔ̃];Immigration (die)
2;6;issu/e (de) (adj.);[isy də / isy də];aus
2;6;localisation (une);[yn(ə) lɔkalizasjɔ̃];Ort (eine)
2;6;maçon/ne (un/une);[ɛ̃ masɔ / yn(ə) masɔn];Maurer/in (ein/eine)
2;6;membre (un);[ɛ̃ mɑ̃br];Mitglied (ein)
2;6;mer (la);[la mɛr];Meer (das)
2;6;naître (v.);[nɛtr];geboren werden
2;6;ouvrier/ière (un/une);[ɛ̃nuvrje / ynuvrjɛr];Arbeiter/in (ein/eine)
2;6;passé (le);[lə pase];Vergangenheit (die)
2;6;petit-fils (un) / petite-fille (une);[ɛ̃ p(ə)tifis / yn(ə) p(ə)titfij];Enkel (ein) / Enkelin (eine)
2;6;petits-enfants (des);[de pətizɑ̃fɑ̃];Enkelkinder (pl.)
2;6;poser (v.);[pɔze];"(eine Frage) stellen / abstellen / Modell
stehen"
2;6;s’installer (v.);[sɛ̃stale];sich niederlassen
2;6;se souvenir (v.);[sə suv(ə)nir];sich erinnern
2;6;simple (adj.);[sɛ̃pl];einfach (adj.)
2;6;singulier/ière (adj.);[sɛ̃gylje / sɛ̃gyljɛr];einzigartig (adj.) / Singular
2;6;souriant/e (adj.);[surjɑ̃ / surjɑ̃t];freundlich (adj.)
2;6;travailleur/euse (un/ une);[ɛ̃ travajoer / yn(ə) travajøz];Arbeiter/in (ein/eine)
2;7;amoureux/euse (adj.);[amurø / amurøz];verliebt (adj.)
2;7;blanc/blanche (adj.);[blɑ̃ / blɑ̃ʃ];weiß (adj.)
2;7;blond/e (adj.);[blɔ̃ / blɔ̃d];blond (adj.)
2;7;boire (v.);[bwar];trinken
2;7;briller (v.);[brije];scheinen
2;7;brun/e (adj.);[brɛ̃ / bryn];braun (adj.)
2;7;cheveu (un);[ɛ̃ ʃfø / ɛ̃ ʃəvø];Haar (ein)
2;7;coeur brisé (avoir le) (v.);[avwar lə koer brize];betrübt sein
2;7;coup de foudre (un);[ɛ̃ ku də fudr / ɛ̃ kut fudr];Liebe auf den ersten Blick (eine)
2;7;courir (v.);[kurir];laufen
2;7;court/e (adj.);[kur / kurt];kurz (adj.)
2;7;début (un);[ɛ̃ deby];Beginn (ein)
2;7;enceinte (adj.);[ɑ̃sɛ̃t];schwanger (adj.)
2;7;ensemble;[ɑ̃sɑ̃bl];zusammen
2;7;entreprise (une);[ynɑ̃trəpriz];Unternehmen (ein)
2;7;grandir (v.);[grɑ̃dir];(auf)wachsen
2;7;import-export (l’);[lɛ̃pɔrɛkspɔr];Import-Export (der)
2;7;incroyable (adj.);[ɛ̃krwajabl];unglaublich (adj.)
2;7;journal (un);[ɛ̃ ʒurnal];Zeitung (eine)
2;7;lecteur/trice (un/une);[ɛ̃ lɛktoer / yn(ə) lɛktris];Leser/in (ein/eine)
2;7;maillot de bain (un);[ɛ̃ majo d(ə) bɛ̃];Badeanzug (ein) / Badehose (eine)
2;7;matinée (une);[yn(ə) matine];Vormittag (ein)
2;7;météo (la);[la meteo];Wettervorhersage (die)
2;7;militaire (adj.);[militɛr];militärisch (adj.)
2;7;nombreux/euse (adj.);[nɔ̃brø / nɔ̃brøz];zahlreich (adj.)
2;7;plage (une);[yn(ə) plaʒ];Strand (ein)
2;7;plonger (v.);[plɔ̃ʒe];eintauchen
2;7;porter (v.);[pɔrte];tragen
2;7;printemps (le);[lə prɛ̃tɑ̃];Frühling (der)
2;7;rester (v.);[rɛste];bleiben
2;7;sable (le);[lə sabl];Sand (der)
2;7;se baigner (v.);[s(ə) bɛɲe];baden
2;7;se quitter (v.);[s(ə) kite];sich verlassen
2;7;se reconnaître (v.);[s(ə) rəkɔnɛtr];sich wiedererkennen
2;7;se rencontrer (v.);[s(ə) rɑ̃kɔ̃tre];sich begegnen
2;7;se retrouver (v.);[sə r(ə)truve];sich wieder begegnen
2;7;seul/e (adj.);[soel / soel];allein (adj.)
2;7;tout de suite;[tu də sɥit / tutsɥit];sofort
2;7;visage (un);[ɛ̃ vizaʒ];Gesicht (ein)
2;8;avoir lieu (v.);[avwar ljø];stattfinden
2;8;bagarre (une);[yn(ə) bagar];Schlägerei (eine)
2;8;bonheur (le);[lə bɔnoer];Glück (das)
2;8;célébrer (v.);[selebre];feiern
2;8;cérémonie (une);[yn(ə) seremɔni];Feier (eine)
2;8;commencer (v.);[kɔmɑ̃se];beginnen
2;8;cours (un);[ɛ̃ kur];Kurs (ein)
2;8;cuisiner (v.);[kɥizine];kochen (v.)
2;8;curieux/euse (adj.);[kyrjø / kyrjøz];neugierig (adj.)
2;8;démarrer (v.);[demare];beginnen
2;8;destin (un);[ɛ̃ dɛstɛ̃];Schicksal (ein)
2;8;discours (un);[ɛ̃ diskur];Rede (eine)
2;8;faire confiance (v.);[fɛr kɔ̃fjɑ̃s];vertrauen
2;8;féliciter (v.);[felisite];gratulieren
2;8;merveilleux/euse (adj.);[mɛrvɛjø / mɛrvɛjøz];herrlich (adj.)
2;8;plaisir (un);[ɛ̃ plɛzir];Vergnügen (ein)
2;8;premier/ière de la classe (le/la);[lə prəmje də la klas / la prəmjɛr də la klas];Klassenbeste/r (der/ die)
2;8;prendre la parole (v.);[prɑ̃dr(ə) la parɔl];das Wort ergreifen
2;8;préparer (v.);[prepare];vorbereiten
2;8;présent/e (adj.);[prezɑ̃ / prezɑ̃t];anwesend (adj.)
2;8;profiter (v.);[prɔfite];profitieren / ausnutzen
2;8;réunir (v.);[reɥnir];zusammenbringen
2;8;révéler (v.);[revele];verraten
2;8;secret (un);[ɛ̃ səkrɛ];Geheimnis (ein)
2;8;témoin (un);[ɛ̃ temwɛ̃];Zeuge (ein)
2;8;transmettre (v.);[trɑ̃smɛtr];übertragen
3;9;accoucher (v.);[akuʃe];entbinden
3;9;achat (un);[ɛ̃naʃa];Einkauf (ein)
3;9;acheter (v.);[aʃəte / aʃte];kaufen
3;9;animation (une);[ynanimasjɔ̃];Veranstaltung (eine)
3;9;arrêter (v.);[arete];aufhören / anhalten
3;9;bas/basse (adj.);[ba / bas];niedrig (adj.)
3;9;boucher/ère (un/une);[ɛ̃ buʃe / yn(ə) buʃɛr];Metzger/in (ein/eine)
3;9;boulanger/ère (un/une);[ɛ̃ bulɑ̃ʒe / yn(ə) bulɑ̃ʒɛr];Bäcker/in (ein/eine)
3;9;boutique (une);[yn(ə) butik];Geschäft (ein)
3;9;buraliste (un);[ɛ̃ byralist];Tabakhändler (ein)
3;9;bureau de poste (un);[ɛ̃ byro də pɔst];Postamt (ein)
3;9;centre commercial (un);[ɛ̃ sɑ̃trə kɔmɛrsjal];Einkaufszentrum (ein)
3;9;centre-ville (le);[lə sɑ̃trə vil];Innenstadt (die)
3;9;commerçant/e (un/ une);[ɛ̃ kɔmɛrsɑ̃ / yn(ə) kɔmɛrsɑ̃t];Händler/in (ein/eine)
3;9;commerce (un);[ɛ̃ kɔmɛrs];Geschäft (ein)
3;9;commissariat de police (un);[ɛ̃ kɔmisarja də pɔlis];Polizeirevier (ein)
3;9;conduire (v.);[kɔ̃dɥir];fahren
3;9;continuer (v.);[kɔ̃tinɥe];weitergehen / weitermachen
3;9;déranger (v.);[derɑ̃ʒe];stören
3;9;désertification (la);[la dezɛrtifikasjɔ̃];Wüstenbildung (die)
3;9;disparition (une);[yn(ə) disparisjɔ̃];Verschwinden (ein)
3;9;dossier (un);[ɛ̃ dɔsje];Akte (eine)
3;9;dynamiser (v.);[dinamize];mobilisieren
3;9;épicerie (une);[ynepis(ə)ri];Lebensmittelgeschäft (ein)
3;9;épicier/ère (un/une);[ɛ̃nepisje / ynepisjɛr];Lebensmittelhändler/in (ein/eine)
3;9;être embêté/e (v.);[ɛtrɑ̃bete / ɛtrɑ̃bete];verärgert sein
3;9;exister (v.);[ɛgziste];existieren
3;9;faire la queue (v.);[fɛr la kø];sich anstellen (v.)
3;9;fermé/e;[fɛrme / fɛrme];geschlossen
3;9;fermer (v.);[fɛrme];schließen
3;9;fermeture (une);[yn(ə) fɛrmətyr];Schließung (eine)
3;9;fleuriste (un/une);[ɛ̃ floerist / yn(ə) floerist];Blumenhändler/in (ein/ eine)
3;9;louer (v.);[lwe];mieten
3;9;lutter (v.);[lyte];kämpfen
3;9;maire (le/la);[lə mɛr / la mɛr];Bürgermeister/in (der/die)
3;9;maternité (la);[la matɛrnite];Entbindungsstation (die)
3;9;mourir (v.);[murir];sterben
3;9;municipalité (la);[la mynisipalite];Gemeinde (die)
3;9;pain (le);[lə pɛ̃];Brot (das)
3;9;périphérie (la);[la periferi];Stadtrand (der)
3;9;phénomène (un);[ɛ̃ fenɔmɛn];Phänomen (ein)
3;9;poissonnier/ère (un/ une);[ɛ̃ pwasɔnje / yn(ə) pwasɔnjɛr];Fischhändler/in (ein/ eine)
3;9;pouvoir (v.);[puvwar];können
3;9;proposer (v.);[prɔpɔze];vorschlagen
3;9;quitter (v.);[kite];verlassen
3;9;se développer (v.);[s(ə) dev(ə)lɔpe];sich ausbreiten / weiterentwickeln
3;9;se faire livrer (v.);[s(ə) fɛr livre];sich liefern lassen
3;9;se garer (v.);[s(ə) gare];parken
3;9;se rendre à (v.);[s(ə) rɑ̃dr];gehen / fahren nach
3;9;se vider (v.);[s(ə) vide];sich leeren
3;9;service (un);[ɛ̃ sɛrvis];Dienstleistung (eine)
3;9;service d’urgences (un);[ɛ̃ sɛrvis dyrʒɑ̃s];Notaufnahme (eine)
3;9;stationnement (le);[lə stasjɔn(ə)mɑ̃];Parken (das)
3;10;ancien/ne (adj.);[ɑ̃sjɛ̃ / ɑ̃sjɛn];alt / ehemalig (adj.)
3;10;augmenter (v.);[ogmɑ̃te];erhöhen
